,--output-cell-fraction,--delay,--window-size,--tissue-depth,--function,--input-signal-depth,--output-strain-fraction
0,1.0,0,3,0,median,12,0.5
1,1.0,0,3,0,parity,12,0.5
2,1.0,0,5,0,median,12,0.5
3,1.0,0,5,0,parity,12,0.5
4,1.0,0,7,0,median,12,0.5
5,1.0,0,7,0,parity,12,0.5
6,1.0,0,9,0,median,12,0.5
7,1.0,0,9,0,parity,12,0.5
