,Accuracy,Lambda ESM,Genes,Cells,Strains,Tissue depth,Output gene fraction,Output cell fraction,Output strain fraction,Output cells random,In degree,Input fraction,Input signal depth,ESMs,Secretion low,Secretion high,ESM threshold,Cell radius,Voxel length,Timesteps,Warmup timesteps,Delay,Function,Window size,Kappa,Summary,Source dist,Reuse,Auxiliary,Lasso weights,Output,Threads
0,0.49107142857142855,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
1,0.9017857142857143,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
2,0.8482142857142857,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
3,1.0,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
4,1.0,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
5,0.9776785714285714,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
6,0.9732142857142857,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
7,0.9598214285714286,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
8,0.8839285714285714,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
9,0.7366071428571429,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
10,0.8571428571428571,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
11,0.9598214285714286,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
12,0.78125,15.0,100,1728,10,3,1.0,0.3333333333333333,1.0,False,2.0,0.5,1,5,1.0,5.0,11.5,10.0,20.0,1000,100,2,parity,3,False,False,1,False,False,False,output,7
