,Accuracy,Lambda ESM,Genes,Cells,Strains,Tissue depth,Output gene fraction,Output cell fraction,Output strain fraction,Output cells random,In degree,Input fraction,Input signal depth,ESMs,Secretion low,Secretion high,ESM threshold,Cell radius,Voxel length,Timesteps,Warmup timesteps,Delay,Function,Window size,Kappa,Summary,Source dist,Reuse,Auxiliary,Lasso weights,Output,Threads,ESM Communication
0,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
1,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
2,0.9910714285714286,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
3,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
4,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
5,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
6,0.9955357142857143,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
7,0.9910714285714286,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
8,0.9821428571428571,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
9,1.0,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
10,0.9866071428571429,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
11,0.9955357142857143,15.0,100,1728,10,0,1.0,1.0,1.0,False,2.0,0.5,12,5,1.0,5.0,100000.0,10.0,20.0,1000,100,0,parity,5,False,False,1,False,False,False,output,19,No
